vehicle_record_id,observation_id,batch_no,model_code,brand,common_name,energy_type,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,curb_weight_num,battery_capacity_kwh,battery_capacity_num,battery_mass_kg,battery_mass_num,ev_range_km,ev_range_num,battery_type,battery_chemistry,battery_chemistry_cn,motor_power_kw,motor_count,motor_total_peak_kw,single_multi_motor,cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,range_extender,seat_count,approx_energy_consumption_kwh_100km,battery_energy_density_wh_kg,km_per_kwh,battery_mass_ratio_pct,variant_count,vehicle_tax_match_flag,purchase_tax_match_flag,metric_scope,source_detail,source_tax
401:DJV5030X,401:DJV5030X:confirmed,401,DJV5030X,东嘉加乐,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(二十二)68,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:DXK6481,401:DXK6481:confirmed,401,DXK6481,赛力斯蓝电,蓝电E5 PLUS,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,,,,,2000,2000.0,25.039,25.039,211±6.3,211.0,110,110.0,,,,,,,,,,,,,,,22.8,118.7,4.39,10.5,1,1,1,全数据,,插电式混合动力乘用车
401:DXK6510,401:DXK6510:confirmed,401,DXK6510,瑞驰,瑞驰 EC75,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,,,,,1895,1895.0,50.18,50.18,352,352.0,353,353.0,,,,,,,,,,,,,,,14.2,142.6,7.03,18.6,1,0,1,全数据,,纯电动汽车
401:DXK6520,401:DXK6520:confirmed,401,DXK6520,瑞驰,瑞驰 R5,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,,,,,1895,1895.0,50.18,50.18,352,352.0,353,353.0,,,,,,,,,,,,,,,14.2,142.6,7.03,18.6,1,0,1,全数据,,纯电动汽车
401:DXM5100X,401:DXM5100X:confirmed,401,DXM5100X,曼恩拓,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(六)101,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:EZW5081X,401:EZW5081X:confirmed,401,EZW5081X,楚韵,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)123,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:FHA5062X,401:FHA5062X:confirmed,401,FHA5062X,景飞,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(九)50,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:GAT5041X,401:GAT5041X:confirmed,401,GAT5041X,柯铃通,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)170,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:GAT5042X,401:GAT5042X:confirmed,401,GAT5042X,柯铃通,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)170,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:GXC5060X,401:GXC5060X:confirmed,401,GXC5060X,歌睿途,,插电式增程混合动力,eidc,confirmed,high,插电式增程混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)143,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,非纯电车型（tax hit=0 pur hit=0）,,
