标签类型,标签,2023_pct,2024_pct,2025_pct,2026_pct,大盘_pct,2023_tgi,2024_tgi,2025_tgi,2026_tgi,大盘_tgi,Δ2023→2024_pct,Δ2023→2024_tgi,Δ2024→2025_pct,Δ2024→2025_tgi,Δ2025→2026_pct,Δ2025→2026_tgi,Δ23→26_pct,Δ23→26_tgi,2023_大盘差_pct,2023_大盘差_tgi,2024_大盘差_pct,2024_大盘差_tgi,2025_大盘差_pct,2025_大盘差_tgi,2026_大盘差_pct,2026_大盘差_tgi
地域分布,宁夏,0.51,0.54,0.6,0.8,0.46,129.48481507319613,137.42002718152753,153.00571853622458,204.84212098511608,117.01933697341546,0.030000000000000027,7.935212108331399,0.05999999999999994,15.585691354697047,0.20000000000000007,51.836402448891505,0.29000000000000004,75.35730591191995,0.04999999999999999,12.465478099780668,0.08000000000000002,20.400690208112067,0.13999999999999996,35.986381562809115,0.34,87.82278401170062
地域分布,安徽,2.15,2.95,3.12,2.74,4.14,66.73029771383385,91.61169990212218,96.63620171543664,84.92448984109443,128.64355013653926,0.8000000000000003,24.881402188288334,0.16999999999999993,5.024501813314458,-0.3799999999999999,-11.711711874342214,0.5900000000000003,18.194192127260578,-1.9899999999999998,-61.91325242270541,-1.1899999999999995,-37.03185023441708,-1.0199999999999996,-32.00734842110262,-1.3999999999999995,-43.719060295444834
地域分布,山东,6.22,7.55,7.37,8.4,6.91,110.25364394691002,133.95495016799808,130.67898373132846,148.94761035153238,122.73818928776508,1.33,23.70130622108806,-0.17999999999999972,-3.27596643666962,1.0300000000000002,18.268626620203918,2.1800000000000006,38.69396640462236,-0.6900000000000004,-12.484545340855064,0.6399999999999997,11.216760880232997,0.45999999999999996,7.940794443563377,1.4900000000000002,26.209421063767294
地域分布,山西,1.32,1.73,1.69,2.04,2.44,66.34901614108877,87.02495283673774,84.85719349212411,102.10006132104654,122.49863175932424,0.4099999999999999,20.67593669564897,-0.040000000000000036,-2.1677593446136285,0.3500000000000001,17.242867828922428,0.72,35.75104517995777,-1.1199999999999999,-56.14961561823547,-0.71,-35.4736789225865,-0.75,-37.64143826720013,-0.3999999999999999,-20.3985704382777
地域分布,广东,8.97,7.36,7.7,7.33,11.24,97.0325503984978,79.8259970209243,83.33712502729864,79.32723672034389,122.05046549875978,-1.6100000000000003,-17.2065533775735,0.33999999999999986,3.511128006374335,-0.3700000000000001,-4.00988830695475,-1.6400000000000006,-17.705313678153914,-2.2699999999999996,-25.017915100261973,-3.88,-42.22446847783547,-3.54,-38.71334047146114,-3.91,-42.72322877841589
地域分布,广西,0.99,0.83,0.94,1.09,3.14,38.4310650970069,32.43526594325646,36.52371215094604,42.63211083203417,122.80164710439078,-0.16000000000000003,-5.99579915375044,0.10999999999999999,4.088446207689579,0.15000000000000013,6.108398681088133,0.10000000000000009,4.201045735027272,-2.1500000000000004,-84.37058200738389,-2.31,-90.36638116113431,-2.2,-86.27793495344474,-2.05,-80.16953627235661
地域分布,新疆,0.51,0.58,0.8,0.86,2.09,34.62217996682218,40.12823876024411,54.77380049259942,58.68377671645888,143.59851186736222,0.06999999999999995,5.5060587934219285,0.22000000000000008,14.645561732355311,0.05999999999999994,3.9099762238594593,0.35,24.0615967496367,-1.5799999999999998,-108.97633190054003,-1.5099999999999998,-103.47027310711812,-1.2899999999999998,-88.8247113747628,-1.23,-84.91473515090334
地域分布,江苏,13.33,14.1,12.88,11.88,7.07,227.7278246479422,241.20722549577337,220.02376222272216,202.89033068609496,121.15978134509228,0.7699999999999996,13.479400847831158,-1.2199999999999989,-21.183463273051217,-1.0,-17.1334315366272,-1.4499999999999993,-24.837493961847258,6.26,106.56804330284993,7.029999999999999,120.04744415068109,5.8100000000000005,98.86398087762987,4.8100000000000005,81.73054934100267
地域分布,江西,1.68,2.75,2.88,3.05,2.82,73.54081419631429,120.15224572972816,125.82472420901264,132.9599379812967,123.2644824464245,1.07,46.61143153341388,0.1299999999999999,5.672478479284479,0.16999999999999993,7.135213772284047,1.3699999999999999,59.4191237849824,-1.14,-49.72366825011021,-0.06999999999999984,-3.11223671669633,0.06000000000000005,2.5602417625881486,0.22999999999999998,9.695455534872195
地域分布,河北,2.17,2.89,2.84,3.04,4.84,52.330192217246186,69.90859420045832,68.56467337766897,73.35689412715024,117.3150461760313,0.7200000000000002,17.57840198321214,-0.050000000000000266,-1.3439208227893573,0.20000000000000018,4.792220749481274,0.8700000000000001,21.026701909904055,-2.67,-64.98485395878512,-1.9499999999999997,-47.40645197557298,-2.0,-48.750372798362335,-1.7999999999999998,-43.95815204888106
