body_type,fuel_type_group,price_bucket,freeze,top3_price,top3_price_position,position_delta
轿车,新能源,60万以上,2024-03,927418.1357818858,92735.81357818858,-18207.59563100779
MPV,其他能源,10-15万,2025-03,109177.7163126267,21833.543262525338,-1863.243159691152
MPV,其他能源,15-20万,2025-03,168218.733301552,33640.746660310404,-2812.590685018724
MPV,其他能源,20-25万,2025-03,233259.63290884046,46647.92658176809,-460.18863583944767
MPV,其他能源,25-30万,2025-03,281844.6590915795,56363.9318183159,1446.937954594323
MPV,其他能源,30-35万,2025-03,306192.21082587057,61232.442165174114,-5039.964367519075
MPV,其他能源,35-40万,2025-03,382978.070223568,76588.6140447136,3954.0103746404784
MPV,其他能源,40-45万,2025-03,404312.68696771207,80854.53739354241,-4410.370230491113
MPV,其他能源,45-50万,2025-03,484198.63523098466,96830.72704619693,-1516.8723115654138
MPV,其他能源,5-10万,2025-03,60316.09097559827,12062.218195119654,-486.3317956175597
MPV,其他能源,50-55万,2025-03,525002.3863522781,104990.47727045561,593.3075650957326
MPV,其他能源,55-60万,2025-03,581339.4479084533,116256.88958169066,5096.261381690652
MPV,其他能源,5万以下,2025-03,41951.05972280018,8390.211944560036,-751.1549031398899
MPV,其他能源,60万以上,2025-03,1152945.7086205988,115288.57086205987,-514.3926609628688
MPV,新能源,10-15万,2025-03,124088.39334355408,24815.678668710818,-3687.269540717287
MPV,新能源,15-20万,2025-03,185918.64845586347,37180.729691172695,5598.108949638066
MPV,新能源,20-25万,2025-03,230049.40723924479,46005.88144784896,789.1726915326944
MPV,新能源,25-30万,2025-03,288865.0886132928,57768.01772265856,873.9212123912876
MPV,新能源,30-35万,2025-03,337343.0301039917,67462.60602079834,1202.5011372634763
MPV,新能源,35-40万,2025-03,372132.1349729577,74419.42699459154,-1108.98371336532
MPV,新能源,40-45万,2025-03,404229.43198941177,80837.88639788235,-1554.6903259583487
MPV,新能源,45-50万,2025-03,481907.58520689176,96372.51704137835,
MPV,新能源,5-10万,2025-03,98150.98932397173,19629.197864794347,-205.09228905180498
MPV,新能源,50-55万,2025-03,523776.4050827649,104745.28101655298,920.5257911370572
MPV,新能源,55-60万,2025-03,567732.0511203599,113535.41022407198,1586.4102240719803
MPV,新能源,60万以上,2025-03,818000.0,81794.0,0.0
SUV,其他能源,10-15万,2025-03,133839.11117596555,26765.82223519311,3881.7872252560956
SUV,其他能源,15-20万,2025-03,164786.90434328135,32954.38086865627,-1527.2257271194248
SUV,其他能源,20-25万,2025-03,207168.22913033297,41429.6458260666,-2728.029414464756
SUV,其他能源,25-30万,2025-03,281229.3607650608,56240.87215301216,1574.705952201024
SUV,其他能源,30-35万,2025-03,316721.1625825809,63338.232516516175,-2913.5537359405134
SUV,其他能源,35-40万,2025-03,380072.4569897263,76007.49139794525,3980.7854176753026
SUV,其他能源,40-45万,2025-03,419474.269122099,83886.8538244198,-3498.262307334764
SUV,其他能源,45-50万,2025-03,480792.39118166466,96149.47823633293,1773.601618671266
SUV,其他能源,5-10万,2025-03,87479.21961422775,17494.84392284555,160.17446546820065
SUV,其他能源,50-55万,2025-03,516386.31965061027,103267.26393012205,32.039664660420385
SUV,其他能源,55-60万,2025-03,592197.3139813768,118428.46279627536,3868.163404473278
SUV,其他能源,5万以下,2025-03,49900.0,9980.0,
SUV,其他能源,60万以上,2025-03,844119.596106085,84405.9596106085,13702.022372766805
SUV,新能源,10-15万,2025-03,122798.56895626339,24557.713791252678,-2793.419489154716
SUV,新能源,15-20万,2025-03,165133.59342867203,33023.718685734406,63.723241717365454
SUV,新能源,20-25万,2025-03,235602.9638133044,47116.59276266088,2878.4646828689583
SUV,新能源,25-30万,2025-03,263814.84482169285,52757.96896433857,-1703.5430146587678
SUV,新能源,30-35万,2025-03,322887.0905366204,64571.41810732408,-1391.7617746911783
SUV,新能源,35-40万,2025-03,387278.6309218965,77448.7261843793,5314.995504031642
SUV,新能源,40-45万,2025-03,421112.78582512884,84214.55716502576,-290.1231279738131
