price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
40-45万,SUV,其他能源,115099.0,奔驰GLC级（88.5%）、宝马X4（6.2%）、雷克萨斯RX（2.0%）,奔驰GLC级,111372.0,96.76191800102521,奔驰GLC级（88.5%）、宝马X4（6.2%）,94.7340984717504,2,100.0
40-45万,SUV,新能源,97707.0,理想理想L9（88.9%）、沃尔沃XC60（5.0%）、奔驰EQE SUV（2.8%）,理想理想L9,94519.0,96.73718362041615,沃尔沃XC60（5.0%）、捷尼赛思GV70（0.0%）,5.049791724236749,2,100.0
40-45万,跑车,其他能源,78.0,宝马Z4（100.0%）,宝马Z4,78.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
40-45万,轿车,其他能源,208998.0,奔驰E级（53.4%）、宝马5系（34.0%）、宝马4系（8.9%）,奔驰E级,201277.0,96.3057062747012,宝马4系（8.9%）、沃尔沃V90（0.7%）、本田思域（0.5%）,10.119714064249418,3,100.0
40-45万,轿车,新能源,18562.0,宝马5系（23.1%）、蔚来蔚来ET7（18.9%）、奔驰E级（17.5%）,宝马5系,11057.0,59.56793448981791,宝马5系（23.1%）、蔚来蔚来ET7（18.9%）、奔驰E级（17.5%）,59.56793448981791,3,100.0
45-50万,MPV,其他能源,4224.0,奔驰V级（100.0%）,奔驰V级,4224.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
45-50万,SUV,其他能源,57394.0,雷克萨斯RX（47.9%）、奔驰GLC级（24.0%）、保时捷Macan（9.9%）,雷克萨斯RX,46958.0,81.81691466006899,雷克萨斯RX（47.9%）、奥迪Q6（8.1%）、路虎揽胜星脉（4.4%）,60.46799317001778,3,100.0
45-50万,SUV,新能源,41383.0,理想理想L9（73.3%）、蔚来蔚来EC7（7.2%）、蔚来蔚来ES7（5.0%）,理想理想L9,35425.0,85.60278375178213,雷克萨斯NX（4.2%）、奥迪e-tron（0.4%）,4.555010511562719,2,100.0
45-50万,跑车,其他能源,1111.0,宝马Z4（100.0%）,宝马Z4,1111.0,100.0,宝马Z4（100.0%）,100.0,1,100.0
45-50万,轿车,其他能源,36546.0,奔驰E级（84.9%）、奥迪A6（9.4%）、奥迪S4（3.2%）,奔驰E级,35667.0,97.59481201773109,奔驰E级（84.9%）、奥迪A6（9.4%）、奔驰CLA级AMG（2.4%）,96.75477480435616,3,100.0
45-50万,轿车,新能源,2606.0,蔚来蔚来ET7（45.9%）、宝马i5（29.6%）、宝马i4（22.6%）,蔚来蔚来ET7,2557.0,98.11972371450499,无满足9个月暴露期车型,0.0,0,100.0
