body_type,fuel_type_group,price_bucket,sales,growth_pct,share_pct,freeze,share_delta_pp
跑车,其他能源,60万以上,5214.0,-27.229588276343332,49.628783552255854,2025-03,-0.004078736466787802
跑车,新能源,15-20万,106.0,146.51162790697674,14.620689655172415,2025-03,14.184849395695423
跑车,新能源,30-35万,440.0,-42.48366013071896,60.689655172413794,2025-03,52.93575288171848
跑车,新能源,60万以上,179.0,794.9999999999999,24.689655172413794,2025-03,24.48693877265705
轿车,其他能源,10-15万,1456072.0,-33.400843974492325,27.49971576218606,2025-03,-5.282288278732931
轿车,其他能源,15-20万,1021480.0,-16.598695109395422,19.291909779707193,2025-03,0.9274398785560187
轿车,其他能源,20-25万,306057.0,-2.3302346509913585,5.780263961553672,2025-03,1.0817172679475453
轿车,其他能源,25-30万,319820.0,-29.33716305788776,6.040195193000308,2025-03,-0.7461496495800324
轿车,其他能源,30-35万,204278.0,68.39614864642067,3.858042003738719,2025-03,2.039133651631481
轿车,其他能源,35-40万,178310.0,-41.75122011773238,3.367604292614236,2025-03,-1.2223698799907323
轿车,其他能源,40-45万,131915.0,-36.88217112125475,2.4913774901026695,2025-03,-0.6423664325875782
轿车,其他能源,45-50万,46415.0,27.004323318557443,0.876604527181256,2025-03,0.3286289226365342
轿车,其他能源,5-10万,1563022.0,-8.584726670425379,29.51959843334916,2025-03,3.8825689211458076
轿车,其他能源,50-55万,4223.0,-69.13462944014033,0.0797565640048787,2025-03,-0.12539317116123755
轿车,其他能源,55-60万,1233.0,-84.24482494249936,0.02328672588634038,2025-03,-0.09405736323878942
轿车,其他能源,60万以上,62037.0,-29.18878197445468,1.1716452666755055,2025-03,-0.14197577909033865
轿车,新能源,10-15万,1765556.0,26.163230247916648,32.178762070981676,2025-03,-5.842283662504059
轿车,新能源,15-20万,493997.0,64.70629421924075,9.003516131336946,2025-03,0.8547946144096414
轿车,新能源,20-25万,442149.0,17.323847986796224,8.058542165143715,2025-03,-2.1804617501962618
轿车,新能源,25-30万,333096.0,54.00505804733482,6.070958344451103,2025-03,0.1945794103984051
轿车,新能源,30-35万,14712.0,-72.101490499488,0.2681387322680688,2025-03,-1.1645969441109194
轿车,新能源,35-40万,22626.0,203.70469798657717,0.4123781237287468,2025-03,0.20996827829651213
轿车,新能源,40-45万,23688.0,27.615558668246965,0.4317339783826817,2025-03,-0.07257898147143105
轿车,新能源,5-10万,1626002.0,112.48650725406613,29.63527154332139,2025-03,8.844764646579481
轿车,新能源,50-55万,82.0,3.797468354430378,0.00149451985086879,2025-03,-0.0006518395839159802
轿车,新能源,55-60万,138.0,-51.23674911660777,0.0025151675539011346,2025-03,-0.00517368966184684
轿车,新能源,5万以下,757107.0,42.85657679484205,13.798920008923377,2025-03,-0.6000816894174861
轿车,新能源,60万以上,7559.0,-32.71918113039608,0.13776921405752662,2025-03,-0.16747570049699106
